"Date (UTC)","Timestamp (UTC)","$150,000","$120,000","$80,000","$70,000"
"12-13-2024 00:00","1734048003","0.305","0.625","",""
"12-14-2024 00:00","1734134403","0.24","0.59","0.41","0.185"
"12-15-2024 00:00","1734220803","0.235","0.595","0.41","0.245"
"12-16-2024 00:00","1734307203","0.265","0.665","0.33","0.175"
"12-17-2024 00:00","1734393604","0.305","0.735","0.335","0.185"
"12-18-2024 00:00","1734480003","0.33","0.7","0.32","0.185"
"12-19-2024 00:00","1734566403","0.28","0.645","0.365","0.245"
"12-20-2024 00:00","1734652804","0.235","0.55","0.475","0.245"
"12-21-2024 00:00","1734739203","0.235","0.57","0.435","0.295"
"12-22-2024 00:00","1734825604","0.245","0.565","0.475","0.275"
"12-23-2024 00:00","1734912004","0.22","0.51","0.555","0.335"
"12-24-2024 00:00","1734998403","0.215","0.51","0.555","0.34"
"12-25-2024 00:00","1735084803","0.24","0.545","0.475","0.28"
"12-26-2024 00:00","1735171204","0.245","0.535","0.485","0.255"
"12-27-2024 00:00","1735257603","0.225","0.495","0.55","0.33"
"12-28-2024 00:00","1735344003","0.195","0.46","0.58","0.355"
"12-29-2024 00:00","1735430403","0.205","0.465","0.545","0.315"
"12-30-2024 00:00","1735516803","0.165","0.45","0.58","0.335"
"12-31-2024 00:00","1735603204","0.18","0.43","0.58","0.37"
"01-01-2025 00:00","1735689604","0.145","0.425","0.535","0.32"
"01-02-2025 00:00","1735776003","0.135","0.415","0.535","0.315"
"01-03-2025 00:00","1735862404","0.145","0.475","0.485","0.28"
"01-04-2025 00:00","1735948803","0.145","0.48","0.46","0.26"
"01-05-2025 00:00","1736035203","0.165","0.49","0.455","0.265"
"01-06-2025 00:00","1736121603","0.16","0.48","0.44","0.275"
"01-07-2025 00:00","1736208004","0.19","0.575","0.37","0.22"
"01-08-2025 00:00","1736294403","0.155","0.48","0.415","0.215"
"01-09-2025 00:00","1736380803","0.14","0.465","0.47","0.23"
"01-10-2025 00:00","1736467204","0.14","0.425","0.525","0.255"
"01-11-2025 00:00","1736553604","0.145","0.415","0.475","0.235"
"01-12-2025 00:00","1736640004","0.135","0.43","0.48","0.24"
"01-13-2025 00:00","1736726404","0.145","0.41","0.47","0.235"
"01-14-2025 00:00","1736812803","0.155","0.425","0.505","0.265"
"01-15-2025 00:00","1736899203","0.165","0.43","0.465","0.235"
"01-16-2025 00:00","1736985604","0.175","0.515","0.395","0.225"
"01-17-2025 00:00","1737072004","0.18","0.51","0.39","0.22"
"01-18-2025 00:00","1737158404","0.195","0.565","0.325","0.185"
"01-19-2025 00:00","1737244804","0.2","0.61","0.335","0.185"
"01-20-2025 00:00","1737331204","0.185","0.525","0.395","0.22"
"01-21-2025 00:00","1737417603","0.195","0.58","0.375","0.2"
"01-22-2025 00:00","1737504003","0.225","0.66","0.265","0.175"
"01-23-2025 00:00","1737590404","0.175","0.605","0.28","0.175"
"01-24-2025 00:00","1737676803","0.165","0.615","0.255","0.16"
"01-25-2025 00:00","1737763205","0.16","0.59","0.24","0.14"
"01-26-2025 00:00","1737849604","0.145","0.59","0.24","0.135"
"01-27-2025 00:00","1737936004","0.135","0.485","0.285","0.135"
"01-28-2025 00:00","1738022404","0.125","0.49","0.255","0.145"
"01-29-2025 00:00","1738108804","0.105","0.485","0.25","0.145"
"01-30-2025 00:00","1738195205","0.11","0.515","0.25","0.12"
"01-31-2025 00:00","1738281604","0.1","0.53","0.215","0.115"
"02-01-2025 00:00","1738368005","0.095","0.425","0.235","0.115"
"02-02-2025 00:00","1738454404","0.075","0.375","0.245","0.105"
"02-03-2025 00:00","1738540805","0.075","0.365","0.285","0.105"
"02-04-2025 00:00","1738627204","0.09","0.505","0.215","0.07"
"02-05-2025 00:00","1738713604","0.075","0.41","0.26","0.09"
"02-06-2025 00:00","1738800005","0.06","0.35","0.295","0.085"
"02-07-2025 00:00","1738886404","0.055","0.35","0.285","0.095"
"02-08-2025 00:00","1738972804","0.05","0.295","0.29","0.105"